filename: GalbraithHeat-1-13-Sep_30_1809
subject: 1
session: 13
date: Sep_30_1809

Block,Color,Circ1,Circ2,Circ3,Circ4,Full,Avg
1,Red,50.000,50.000,50.000,50.000,50.000,50.0
1,Green,50.000,
